#,receptor,ligand,centerx,centery,centerz,sizex,sizey,sizez
i,M2M_3UON,ZINC00000070,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000070,11,3,-8,18.409,18.441,18.476
i,mGlu1_4OR2,3D1,21,-20,28,18.409,18.441,18.476           
i,mGlu1_4OR2_H,3D1,21,-20,28,18.409,18.441,18.476         
i,mGlu1_4OR2,4DX,21,-20,28,18.409,18.441,18.476           
i,mGlu1_4OR2_H,4DX,21,-20,28,18.409,18.441,18.476         
i,mGlu1_4OR2,ACT,21,-20,28,18.409,18.441,18.476           
i,mGlu1_4OR2_H,ACT,21,-20,28,18.409,18.441,18.476         
i,mGlu1_4OR2,ANP,21,-20,28,18.409,18.441,18.476           
i,mGlu1_4OR2_H,ANP,21,-20,28,18.409,18.441,18.476         
