#,receptor,ligand,centerx,centery,centerz,sizex,sizey,sizez
i,CB1_5TGZ_H,ZINC00000070,41,32,317,18.409,18.441,18.476 
i,CCR5_4MBS,3D1,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,3D1,155,112,20,18.409,18.441,18.476        
i,CCR5_4MBS,4DX,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,4DX,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,ACT,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,ACT,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,ANP,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,ANP,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,DAO,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,DAO,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,DIH,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,DIH,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,MGT,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,MGT,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,N8M,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,N8M,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,NAD,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,NAD,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,T27,155,112,20,18.409,18.441,18.476           
i,CCR5_4MBS_H,T27,155,112,20,18.409,18.441,18.476         
i,CCR5_4MBS,ZINC00001506,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00001506,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00001592,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00001592,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00002171,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00002171,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00004579,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00004579,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00005256,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00005256,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00007580,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00007580,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000023,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000023,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000053,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000053,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000056,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000056,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000061,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000061,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000083,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000083,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000095,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000095,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000018,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000018,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000036,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000036,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000056,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000056,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000061,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000061,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000083,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000083,155,112,20,18.409,18.441,18.476
i,CCR5_4MBS,ZINC00000070,155,112,20,18.409,18.441,18.476  
i,CCR5_4MBS_H,ZINC00000070,155,112,20,18.409,18.441,18.476
i,CXCR4_3ODU,3D1,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,3D1,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,4DX,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,4DX,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,ACT,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,ACT,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,ANP,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,ANP,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,DAO,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,DAO,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,DIH,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,DIH,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,MGT,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,MGT,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,N8M,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,N8M,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,NAD,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,NAD,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,T27,18,-8,65,18.409,18.441,18.476           
i,CXCR4_3ODU_H,T27,18,-8,65,18.409,18.441,18.476         
i,CXCR4_3ODU,ZINC00001506,18,-8,65,18.409,18.441,18.476  
i,CXCR4_3ODU_H,ZINC00001506,18,-8,65,18.409,18.441,18.476
